10156285801831977_10156289023716977,Mikimutong Bihon eh bakit hindi nya mapakulong anak nya n member ng mga druglord!!!bakit hindi nya buksan ang DETALYE ng accounts nya para makulong din sya?kc sagabal nga nman si sereno dahil nakitang may tago ngang yaman si duterte na inilahad ni duterte!!!bakit kailangan mangatog ang buntot ng mg ama n yan kung talagang wala clang tinatago???!!! Kaso TOTOO!!
10156289200801977_10156289717591977,Style bulok na yan ........ct scan bakit na siraan na ba ng ulo yan hahahaha kase pag na palayas na si sereno mabubulok sya sa kulungan kaya plan b na kailangan hahaha plan.wheelchair
10156294427881977_10156294571121977,Ito ang dapat tutukan hindi yong ky sereno..
10156295919296977_10156295993536977,Yes! ayaw  ko na magresign si CJ Sereno!
10156295919296977_10156296025711977,Wow sinong justice nagpabasura??diba c SERENO.. ! WOW BRAVOOOO
10156295919296977_10156296026441977,Mga sugapa tlaga sa perang galing droga mag resign kana kapal ng mukha mo cj sereno
10156295919296977_10156296058361977,CJ SERENO ipaglaban!
10156295919296977_10156296058566977,"...CORONA
...SERENO"
10156295919296977_10156296079591977,Resing na sereno
10156295919296977_10156296102836977,GOD bless you CJ Sereno..
10156295919296977_10156296159781977,wag mag resign sereno pls...
10156295919296977_10156296204696977,Go sereno
10156295919296977_10156296294096977,Fight Sereno
10156295919296977_10156296352231977,Laban lang Madam CJ Sereno wag kang bibitaw ipaglaban mo ang karapatan ng bayan !!!!
10156296084996977_10156296375551977,kung ayaw nyoa kay Sereno bat di kayo mag-resign?? kayo pala ang my ayaw sa kanya eh di yong sya my ayaw sa inyo..yan lang ba ang mga empleyado Supreme Court?? Ang kokonti nyo naman....  #supportCJSereno
10156296084996977_10156296402706977,"Donlisten to them CJ Sereno! They are just bluffing you. Grabe na ang Supreme Court, napolitka na talaga. Pati yung ibang judicial body? How much? Whats the promise? Laban lang CJ Sereno. Dont give up and dont be discouraged. Dont listen to them as long as you are in the right path. Put them into shame when the Impeachment goes to the Senate. The real battle will begin there. #StandWithCJSereno"
10156296084996977_10156296407646977,"next time poh, isama nyo yung mga UTO UTO, para naman po madami kayong sumisigaw ng
sereno resign😂😂😂 para hindi halata na may bayad yung mga sigaw nyo!!!!"
10156296084996977_10156296409721977,The SC branch is the weakest of the three....they only show their vulnerability in public perception who trusted them for being  independent non partisan body of government...now they feel the pressure from the executive and for the SC justices only Sereno not the en banc who want to be ousted...but they knew that this might happen again and on and on again...
10156296084996977_10156296428841977,"Lol bakit naman sila magreresign kung matino ang mga nasa SC compare kay Sereno? Ayaw sa kanya ng HUDIKATURA eh bakit mo pipilitin? Parang ganito lang yan. Empleyado ka pero MAJORITY ng TAO AYAW SAYO, Sa tingin mo magstay ka pa? Kakapalan ng MUKHA yan kung ganun haha"
10156296084996977_10156296435376977,nagbabasa k ba?? kawawa ang Pinas kung mga tao katulad sayo.. #trolls k ba?? sagutin mo yan...mas kapal ka cguro kesa kay sereno!!
10156296084996977_10156296437556977,Isinusuka na ng lahat ang swapang na sereno
10156296084996977_10156296469946977,Jhon onggoy ikaw ang trols sama ka doon kung ikaw c sereno gusto mo pang magtrabaho ayaw na sa iyo ang hudikatura at kasamahan niya....tanggapin nalang ang katutuhanan d ung pakapalan...
10156296084996977_10156296474361977,"Oy sereno magresign ka Na ,,nakakahiya ka Ang kapal mukha"
10156296084996977_10156296481611977,"Ga #Yaw2x ang mga #YellowTaeDummyTrolls!Paghilom mo oi!Wala kayong kwenta!Wala nga kayon werpa kung walang pera!
#OustSaltikSereno"
